2015-01-28 15:13:20,090 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: practice1:ConvertToCheck:0.0.1-SNAPSHOT @ C:\Users\GONZALO L\git-bootcamps\java-bootcamp\Topic3-TDD\ConvertToCheck\pom.xml.
2015-01-28 15:13:21,823 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: practice1:ConvertToCheck:0.0.1-SNAPSHOT @ C:\Users\GONZALO L\git-bootcamps\java-bootcamp\Topic3-TDD\ConvertToCheck\pom.xml.
2015-01-28 15:13:21,844 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ConvertToCheck/src/main/java
2015-01-28 15:13:21,844 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ConvertToCheck/src/main/resources
2015-01-28 15:13:21,844 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ConvertToCheck/src/test/java
2015-01-28 15:13:21,844 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ConvertToCheck/src/test/resources
2015-01-28 15:13:24,558 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: practice1:ConvertToCheck:0.0.1-SNAPSHOT @ C:\Users\GONZALO L\git-bootcamps\java-bootcamp\Topic3-TDD\ConvertToCheck\pom.xml.
2015-01-28 15:13:24,667 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-28 15:13:24,714 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-01-28 15:13:24,714 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-28 15:13:24,730 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-01-29 23:22:53,655 [main] WARN  o.e.r.i.c.rcp.TypeBindingAnalyzer - Can't handle class org.eclipse.jdt.internal.compiler.ast.IfStatement as parent of completion location.
2015-02-05 02:04:29,019 [main] WARN  o.e.r.i.c.rcp.TypeBindingAnalyzer - Can't handle class org.eclipse.jdt.internal.compiler.ast.ArrayReference as parent of completion location.
